id,name,ai,str,sta,dex,intl,HR,ER,Race,Belligerence,Gender,Level,FlightLevel,Size,Class,ifPart,Karma,Useable,AtkMin,AtkMax,Atk1,Atk2,Atk3,HorizontalRate,VerticalRate,DiagonalRate,ThrustRate,ChestRate,HeadRate,ArmRate,ReAttackDelay,AddHp,AddMp,NeturealArmor,Abrasion,Hardness,AdjAtkDelay,ElementalType,ElementalAtk,HideLevel,Speed,Shelter,Flying,Jumping,Airjump,Taming,ResistMagic,ResistElectricity,ResistFire,ResistWind,ResistWater,ResistEarth,Cash,SourceMaterial,MaterialAmmount,Cohesion,HoldingTime,CorrectionValue,ExpValue,FxpValue,BodyState,AddAbility,VirtItem1,VirtType1,VirtItem2,VirtType2,VirtItem3,VirtType3,SndAtk1,SndAtk2,SndDie1,SndDie2,SndDmg1,SndDmg2,SndDmg3,SndIdle1,SndIdle2,comment,giant
41,Nyangnyang,2,15,20,47,40,31,24,-1,12,-1,17,-1,100,2,0,-1,1,130,137,9099,9100,9101,-1,-1.0,-1,-1,-1,-1,-1,3500,3080,100,25,130,0,-1,3,0,-1,0.075,-1,0,-1,-1,-1,17,0.0,0.0,0.0,0.3,-0.3,36,-1,-1,-1,-1,50,38,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
42,Creep Nyangnyang,2,15,20,49,42,32,26,-1,12,-1,18,-1,100,3,0,-1,1,136,143,9102,9103,9104,-1,-1.0,-1,-1,-1,-1,-1,3500,3197,100,26,130,0,-1,1,0,-1,0.08,-1,0,-1,-1,-1,18,0.0,0.0,0.3,-0.3,0.0,36,-1,-1,-1,-1,9,41,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
43,Giant Nyangnyang,2,15,20,55,47,70,43,-1,12,-1,21,-1,400,4,0,-1,1,340,358,9105,9106,9107,-1,-1.0,-1,-1,-1,-1,-1,3000,65032,100,40,130,0,-1,3,0,-1,0.075,-1,0,-1,-1,-1,21,0.0,0.0,0.0,0.3,-0.3,266,-1,-1,-1,-1,430,280,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
44,Bang,2,15,20,51,43,33,26,-1,11,-1,19,-1,100,1,0,-1,1,152,160,9108,9109,9110,-1,-1.0,-1,-1,-1,-1,-1,3000,2994,100,27,130,0,-1,3,0,-1,0.075,-1,0,-1,-1,-1,19,0.0,0.0,0.0,0.3,-0.3,37,-1,-1,-1,-1,13,46,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
45,Captain Bang,2,15,20,51,43,34,26,-1,11,-1,19,-1,100,2,0,-1,1,155,163,9111,9112,9113,-1,-1.0,-1,-1,-1,-1,-1,3000,2994,100,27,130,0,-1,5,0,-1,0.075,-1,0,-1,-1,-1,19,0.3,0.0,-0.3,0.0,0.0,37,-1,-1,-1,-1,50,48,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
46,Boss Bang,2,15,20,53,45,35,28,-1,11,-1,20,-1,100,3,0,-1,1,162,170,9114,9115,9116,-1,-1.0,-1,-1,-1,-1,-1,3000,3101,100,28,130,0,-1,3,0,-1,0.08,-1,0,-1,-1,-1,20,0.0,0.0,0.0,0.3,-0.3,37,-1,-1,-1,-1,9,53,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
47,Giant Bang,2,15,20,59,50,70,45,-1,11,-1,23,-1,400,4,0,-1,1,367,386,9117,9118,9119,-1,0.0,-1,-1,-1,-1,-1,3000,63106,100,50,130,0,-1,5,0,-1,0.075,-1,0,-1,-1,-1,23,0.3,0.0,-0.3,0.0,0.0,273,-1,-1,-1,-1,490,367,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
48,Small Wagsaac,2,15,20,55,47,36,29,-1,13,-1,21,-1,100,1,0,-1,1,191,201,9120,9121,9122,-1,-1.0,-1,-1,-1,-1,-1,3000,3802,100,31,130,0,-1,5,0,-1,0.075,-1,0,-1,-1,-1,21,0.3,0.0,-0.3,0.0,0.0,38,-1,-1,-1,-1,13,61,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
49,Wagsaac,2,15,20,55,47,37,29,-1,13,-1,21,-1,100,2,0,-1,1,191,201,9123,9124,9125,-1,-1.0,-1,-1,-1,-1,-1,3000,3802,100,31,130,0,-1,2,0,-1,0.075,-1,0,-1,-1,-1,21,-0.3,0.3,0.0,0.0,0.0,38,-1,-1,-1,-1,50,63,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
50,Captain Wagsaac,2,15,20,57,48,38,31,-1,13,-1,22,-1,100,3,0,-1,1,195,205,9126,9127,9128,-1,-1.0,-1,-1,-1,-1,-1,3000,3928,100,32,130,0,-1,5,0,-1,0.08,-1,0,-1,-1,-1,22,0.3,0.0,-0.3,0.0,0.0,38,-1,-1,-1,-1,9,69,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
51,Giant Wagsaac,2,15,20,63,54,70,48,-1,13,-1,25,-1,400,4,0,-1,1,395,416,9129,9130,9131,-1,-1.0,-1,-1,-1,-1,-1,3000,75204,100,50,130,0,-1,2,0,-1,0.075,-1,0,-1,-1,-1,25,-0.3,0.3,0.0,0.0,0.0,280,-1,-1,-1,-1,600,479,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
52,Rough Wheelem,2,15,20,111,94,78,61,-1,12,-1,49,-1,100,1,0,-1,1,402,424,9204,9205,9206,-1,-1.0,-1,-1,-1,-1,-1,3000,8899,100,65,130,0,-1,5,0,-1,0.075,-1,0,-1,-1,-1,58,0.3,0.0,-0.3,0.0,0.0,58,-1,-1,-1,-1,13,1995,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,34,124,-1,-1,-1,,0
53,Wheelem,2,15,20,111,94,79,62,-1,12,-1,49,-1,100,2,0,-1,1,402,424,9207,9208,9209,-1,-1.0,-1,-1,-1,-1,-1,3000,8899,100,65,130,0,-1,5,0,-1,0.075,-1,0,-1,-1,-1,58,0.3,0.0,-0.3,0.0,0.0,58,-1,-1,-1,-1,50,2086,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,34,124,-1,-1,-1,,0
54,Bouncing Wheelem,2,15,20,113,96,80,63,-1,12,-1,50,-1,100,3,0,-1,1,406,428,9210,9211,9212,-1,-1.0,-1,-1,-1,-1,-1,3000,9059,100,66,130,0,-1,5,0,-1,0.08,-1,0,-1,-1,-1,60,0.3,0.0,-0.3,0.0,0.0,58,-1,-1,-1,-1,9,2234,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,34,124,-1,-1,-1,,0
55,Giant Wheelem,2,15,20,119,101,100,85,-1,12,-1,53,-1,400,4,0,-1,1,807,849,9213,9214,9215,-1,-1.0,-1,-1,-1,-1,-1,3000,168432,100,80,130,0,-1,3,0,-1,0.075,-1,0,-1,-1,-1,63,0.0,0.0,0.0,0.3,-0.3,427,-1,-1,-1,-1,3260,14540,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,34,124,-1,-1,-1,,0
56,Small Tombstone Bearer,2,15,20,99,84,69,54,-1,12,-1,43,-1,200,1,0,-1,1,361,380,9228,9229,9230,-1,-1.0,-1,-1,-1,-1,-1,3000,7769,100,59,130,0,-1,5,0,-1,0.075,-1,0,-1,-1,-1,51,0.3,0.0,-0.3,0.0,0.0,53,-1,-1,-1,-1,13,1013,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
57,Tombstone Bearer,2,15,20,99,84,70,54,-1,12,-1,43,-1,200,2,0,-1,1,361,380,9231,9232,9233,-1,-1.0,-1,-1,-1,-1,-1,3000,7769,100,59,130,0,-1,5,0,-1,0.075,-1,0,-1,-1,-1,51,0.3,0.0,-0.3,0.0,0.0,53,-1,-1,-1,-1,50,1059,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
58,Captain Tombstone Bearer,2,15,20,101,86,71,55,-1,12,-1,44,-1,200,3,0,-1,1,365,384,9234,9235,9236,-1,-1.0,-1,-1,-1,-1,-1,3000,7925,100,60,130,0,-1,5,0,-1,0.08,-1,0,-1,-1,-1,52,0.3,0.0,-0.3,0.0,0.0,53,-1,-1,-1,-1,9,1134,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
59,Giant Tombstone Bearer,2,15,20,107,91,100,85,-1,12,-1,47,-1,400,4,0,-1,1,720,758,9237,9238,9239,-1,0.0,-1,-1,-1,-1,-1,3000,149828,100,70,130,0,-1,2,0,-1,0.075,-1,0,-1,-1,-1,56,-0.3,0.3,0.0,0.0,0.0,392,-1,-1,-1,-1,2580,7379,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
60,1st Class Fefern,2,15,20,43,37,27,22,-1,12,-1,15,-1,100,1,0,-1,1,104,110,9084,9085,9086,-1,1.0,-1,-1,-1,-1,-1,3500,2320,100,22,130,0,-1,5,0,-1,0.075,-1,0,-1,-1,-1,15,0.3,0.0,-0.3,0.0,0.0,35,-1,-1,-1,-1,13,29,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,33,124,-1,-1,-1,,0
61,Fefern,2,15,20,43,37,28,22,-1,12,-1,15,-1,100,2,0,-1,1,107,113,9087,9088,9089,-1,1.0,-1,-1,-1,-1,-1,3500,2320,100,22,130,0,-1,2,0,-1,0.075,-1,0,-1,-1,-1,15,-0.3,0.3,0.0,0.0,0.0,35,-1,-1,-1,-1,50,30,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,33,124,-1,-1,-1,,0
62,2nd Class Fefern,2,15,20,45,38,29,24,-1,12,-1,16,-1,100,3,0,-1,1,113,119,9090,9091,9092,-1,1.0,-1,-1,-1,-1,-1,3500,2415,100,23,130,0,-1,5,0,-1,0.08,-1,0,-1,-1,-1,16,0.3,0.0,-0.3,0.0,0.0,35,-1,-1,-1,-1,9,32,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,33,124,-1,-1,-1,,0
63,Giant Fefern,2,15,20,51,43,70,41,-1,12,-1,19,-1,400,4,0,-1,1,311,327,9093,9094,9095,-1,-1.0,-1,-1,-1,-1,-1,3000,52145,100,40,130,0,-1,2,0,-1,0.075,-1,0,-1,-1,-1,19,-0.3,0.3,0.0,0.0,0.0,259,-1,-1,-1,-1,400,214,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,33,124,-1,-1,-1,,0
64,Red Mantis C,2,15,20,67,57,45,37,-1,12,-1,27,-1,100,1,0,-1,1,232,245,9132,9133,9134,-1,-1.0,-1,-1,-1,-1,-1,3000,4601,100,39,130,0,-1,3,0,-1,0.075,-1,0,-1,-1,-1,27,0.0,0.0,0.0,0.3,-0.3,41,-1,-1,-1,-1,13,136,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
65,Red Mantis B,2,15,20,67,57,46,37,-1,12,-1,27,-1,100,2,0,-1,1,232,245,9135,9136,9137,-1,-1.0,-1,-1,-1,-1,-1,3000,4601,100,39,130,0,-1,3,0,-1,0.075,-1,0,-1,-1,-1,27,0.0,0.0,0.0,0.3,-0.3,41,-1,-1,-1,-1,50,143,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
66,Red Mantis A,2,15,20,69,59,47,38,-1,12,-1,28,-1,100,3,0,-1,1,236,249,9138,9139,9140,-1,-1.0,-1,-1,-1,-1,-1,3000,4730,100,40,130,0,-1,3,0,-1,0.08,-1,0,-1,-1,-1,28,0.0,0.0,0.0,0.3,-0.3,42,-1,-1,-1,-1,9,156,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
67,Giant Red Mantis,2,15,20,75,64,80,55,-1,12,-1,31,-1,400,4,0,-1,1,479,504,9141,9142,9143,-1,0.0,-1,-1,-1,-1,-1,3000,93121,100,60,130,0,-1,4,0,-1,0.075,-1,0,-1,-1,-1,31,0.0,-0.3,0.0,0.0,0.3,308,-1,-1,-1,-1,1060,1060,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
68,Stale Mr. Pumpkin,2,15,20,63,54,42,34,-1,13,-1,25,-1,100,1,0,-1,1,207,217,9144,9145,9146,-1,1.0,-1,-1,-1,-1,-1,3000,4454,100,36,130,0,-1,2,0,-1,0.075,-1,0,-1,-1,-1,25,-0.3,0.3,0.0,0.0,0.0,40,-1,-1,-1,-1,13,103,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
69,Mr. Pumpkin,2,15,20,63,54,43,34,-1,13,-1,25,-1,100,2,0,-1,1,207,217,9147,9148,9149,-1,1.0,-1,-1,-1,-1,-1,3000,4454,100,36,130,0,-1,2,0,-1,0.075,-1,0,-1,-1,-1,25,-0.3,0.3,0.0,0.0,0.0,40,-1,-1,-1,-1,50,108,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
70,Rotten Mr Pumpkin,2,15,20,65,55,44,36,-1,13,-1,26,-1,100,3,0,-1,1,210,221,9150,9151,9152,-1,1.0,-1,-1,-1,-1,-1,3000,4586,100,37,130,0,-1,2,0,-1,0.08,-1,0,-1,-1,-1,26,-0.3,0.3,0.0,0.0,0.0,41,-1,-1,-1,-1,9,119,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
71,Giant Mr. Pumpkin,2,15,20,71,60,75,53,-1,13,-1,29,-1,400,4,0,-1,1,412,434,9153,9154,9155,-1,1.0,-1,-1,-1,-1,-1,3000,88035,100,50,130,0,-1,5,0,-1,0.075,-1,0,-1,-1,-1,29,0.3,0.0,-0.3,0.0,0.0,301,-1,-1,-1,-1,810,821,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
72,Phantom Basque,2,15,20,103,88,72,56,-1,13,-1,45,-1,100,1,0,-1,1,369,388,9180,9181,9182,-1,1.0,-1,-1,-1,-1,-1,3000,8260,100,61,130,0,-1,2,0,-1,0.075,-1,0,-1,-1,-1,54,-0.3,0.3,0.0,0.0,0.0,54,-1,-1,-1,-1,13,1269,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
73,Basque,2,15,20,103,88,73,57,-1,13,-1,45,-1,100,2,0,-1,1,369,388,9183,9184,9185,-1,1.0,-1,-1,-1,-1,-1,3000,8260,100,61,130,0,-1,4,0,-1,0.075,-1,0,-1,-1,-1,54,0.0,-0.3,0.0,0.0,0.3,54,-1,-1,-1,-1,50,1327,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
74,Lumping Basque,2,15,20,105,89,74,58,-1,13,-1,46,-1,100,3,0,-1,1,372,392,9186,9187,9188,-1,1.0,-1,-1,-1,-1,-1,3000,8419,100,62,130,0,-1,2,0,-1,0.08,-1,0,-1,-1,-1,55,-0.3,0.3,0.0,0.0,0.0,55,-1,-1,-1,-1,9,1421,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
75,Giant Basque,2,15,20,111,94,100,85,-1,13,-1,49,-1,400,4,0,-1,1,746,785,9189,9190,9191,-1,0.0,-1,-1,-1,-1,-1,3000,154915,100,80,130,0,-1,4,0,-1,0.075,-1,0,-1,-1,-1,58,0.0,-0.3,0.0,0.0,0.3,406,-1,-1,-1,-1,2940,9251,0,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,32,124,-1,-1,-1,,0
